MDAMB231,U87,PC3M,WM266.4,RPE,BJ,Protein,,,
NaN,0.995584,1.4591,1.62215,0.895593,1.55339,KIAA1143,,,
NaN,1.23046,0.80748,1.20213,1.09785,2.17959,CALD1,,,
NaN,0.875876,1.28853,1.34018,1.04669,1.95878,AAMDC,,,
2.66813,0.500796,1.78084,1.16868,0.429025,1.23574,ARRB1,,,
NaN,0.863784,1.28634,1.63279,1.04787,1.64642,ARPP19,,,
1.48051,0.988924,1.22639,1.53727,0.932247,1.59106,PFDN4,,,
NaN,1.11247,1.39608,1.40809,0.849319,1.677,NDUFV3,,,
0.857451,0.894557,1.11882,1.69833,1.25452,1.88339,STMN1,,,
1.74613,1.06749,0.907674,1.54065,0.893135,1.51694,CSTB,,,
2.3493,0.615227,1.47848,1.35241,0.581134,1.29253,HMGB3,,,
1.34155,0.650481,1.53992,1.85725,0.998604,1.26851,HSPE1,,,
NaN,1.03779,2.14764,0.97082,0.952079,1.27178,SNRNP27,,,
NaN,0.80417,1.55559,1.41068,1.1816,1.40936,CCDC50,,,
2.30623,0.698855,0.976279,1.09113,0.766269,1.75577,DCTD,,,
0.720111,1.06536,1.33248,1.26142,1.20219,2.00932,MARCKS,,,
NaN,0.797151,0.924478,1.77106,0.951771,1.85598,MYDGF,,,
NaN,1.01249,1.59025,1.36579,0.856535,1.47432,DNAJC8,,,
NaN,0.923236,1.6836,1.55812,0.821097,1.30912,RNGTT,,,
2.32683,0.740744,1.1975,1.13276,0.906423,1.24087,EIF1,,,
NaN,0.697594,1.29417,1.34319,1.45235,1.48488,FILIP1L,,,
1.60627,0.838935,0.564001,1.24372,1.29017,1.958,PTMS,,,
NaN,0.70097,1.77108,1.68122,0.868184,1.22397,NDUFS6,,,
NaN,0.807245,1.33881,1.43211,1.2472,1.39698,PPP1R2,,,
1.47477,0.931806,1.545,1.54204,0.782944,1.18843,PDAP1,,,
1.05286,0.995357,1.22382,1.07941,1.1964,1.9032,CAST,,,
1.57415,0.699626,1.38086,1.48755,0.877846,1.33354,HN1L,,,
NaN,0.782347,1.00097,1.35303,1.14511,1.84258,CNRIP1,,,
2.53332,0.51347,1.45201,1.13364,0.675482,1.01169,GTPBP1,,,
NaN,1.31818,1.88392,0.455225,1.1076,1.33028,TRMT2A,,,
1.19584,0.807601,1.35308,1.27125,0.97328,1.68302,HDGF,,,
NaN,0.886821,1.00238,1.75127,0.649801,1.77943,DBI,,,
1.41753,0.800145,1.61338,1.41981,0.841728,1.15605,DENR,,,
NaN,0.980834,1.45292,1.37803,0.977587,1.24575,SLC4A1AP,,,
1.74177,1.01553,0.9559,1.06633,0.852365,1.60063,LIMA1,,,
2.09728,0.681314,1.30961,0.832132,0.767197,1.5402,ZYX,,,
1.69258,0.812661,1.15121,1.49942,0.93959,1.13053,PPM1G,,,
2.31124,0.601972,0.9419,1.2793,0.673304,1.40865,UBE2V1,,,
1.2412,0.857959,1.35931,1.35714,0.969076,1.41676,EIF4H,,,
1.24339,0.999452,1.11971,1.63081,1.02952,1.15434,RHEB,,,
NaN,0.734896,1.78043,1.35786,0.726167,1.37097,PIN4,,,
NaN,1.20244,1.1093,0.555752,1.85627,1.24361,FAM83G,,,
2.52264,0.667747,0.9543,0.849771,0.895218,1.2226,STIP1,,,
NaN,1.28134,0.83094,1.75732,0.532095,1.52447,RAD9A,,,
NaN,0.840208,1.16567,1.23956,1.17408,1.49502,SPIRE1,,,
NaN,0.687637,0.622516,1.38546,1.17602,2.03448,MEA1,,,
1.10916,0.874843,1.18505,0.512971,1.40015,1.99377,MSRB3,,,
NaN,0.590223,0.870822,1.34751,1.16229,1.89873,TRIAP1,,,
NaN,0.909925,1.4464,1.32774,0.768324,1.4133,ZFYVE19,,,
0.916103,0.862212,1.43592,1.52216,0.831877,1.4275,ST13,,,
NaN,0.817609,1.64684,1.39916,0.906836,1.05476,RTF1,,,
NaN,0.810929,1.06699,1.48915,0.979066,1.47335,SRCAP,,,
NaN,0.498555,1.35611,0.629356,1.37784,1.93674,KRT1,,,
1.37837,0.731942,1.53782,1.19845,0.743992,1.35896,RANBP3,,,
1.56099,0.616469,0.782963,1.65296,0.668152,1.66572,RANBP1,,,
NaN,0.912052,1.49033,1.13428,0.93861,1.3135,INIP,,,
NaN,0.916642,0.496955,1.16191,1.19706,1.95769,RALGAPA1,,,
NaN,0.663683,1.29525,1.40138,0.846539,1.52176,CNPY3,,,
1.86428,0.788566,0.732374,1.22528,0.973701,1.28312,TPM1,,,
NaN,0.59838,1.25894,1.7885,0.61315,1.4461,PHF5A,,,
NaN,0.839564,1.13832,1.59512,0.63907,1.49007,HN1,,,
1.23621,0.66442,0.910625,1.5445,0.964233,1.50651,PAFAH1B1,,,
0.348127,0.84479,1.76841,1.32052,0.9489,1.57173,CHMP4B,,,
2.16674,0.693393,1.39625,0.631497,0.826752,1.08613,WIBG,,,
1.39152,1.01346,0.972505,1.06272,1.05686,1.30138,DYNLRB1,,,
2.02357,0.689874,1.09879,1.19135,0.687666,1.10689,NCBP2,,,
NaN,0.969201,1.04727,0.723217,1.23591,1.68433,LYZ,,,
NaN,0.79894,1.5514,1.12673,0.906853,1.26505,GTF2F1,,,
NaN,1.06052,1.9113,0.752122,0.852854,1.06995,HES1,,,
NaN,0.847583,0.972479,1.35726,1.02915,1.43232,NENF,,,
NaN,1.0552,0.928891,1.1543,1.2567,1.22879,PYURF,,,
NaN,0.910821,1.24625,1.32325,0.852057,1.2855,IGFBP2,,,
2.33562,0.627221,1.06313,1.03692,0.592339,1.08613,C11orf68,,,
0.0589415,1.00247,1.00608,1.68135,1.09809,1.89041,SOD1,,,
NaN,0.673103,1.68984,1.40034,0.674915,1.17435,CHMP4A,,,
NaN,0.795692,1.63246,0.305369,1.69097,1.18258,S100A7,,,
1.17616,0.763684,0.98262,1.28285,0.940697,1.5778,TCEB2,,,
1.07451,1.02889,0.774914,1.2288,1.10636,1.49438,CTTN,,,
NaN,0.763371,0.761555,0.973484,1.29189,1.78911,TPM1,,,
0.370187,0.908298,1.8968,1.72643,0.771017,1.01375,LUC7L2,,,
NaN,0.93156,1.17495,1.20537,1.10285,1.14922,C6orf203,,,
NaN,0.805556,1.26755,1.16489,1.04523,1.28017,FAM192A,,,
NaN,0.656763,1.58915,1.30106,0.751494,1.20945,PPP1R8,,,
1.2412,0.662905,1.14393,1.55221,0.716526,1.28566,EIF4H,,,
1.74058,0.400289,1.07847,1.5076,0.481918,1.38538,EEF1A1,,,
NaN,0.765978,1.21981,1.49807,0.929824,1.07299,ZFAND6,,,
1.53134,0.722514,1.10056,1.59724,0.692301,0.935162,IMPDH2,,,
1.83551,0.551625,0.907896,1.43274,0.678787,1.16802,GARS,,,
NaN,0.967571,1.44072,1.69388,0.475034,0.865608,JMJD6,,,
NaN,0.635186,1.73448,1.11859,0.931547,1.02182,ARL6IP4,,,
2.02572,0.491656,1.06529,0.60141,0.869507,1.45091,EEA1,,,
1.58728,0.520146,0.902874,1.21032,0.678793,1.59636,SCP2,,,
NaN,0.833006,0.893277,1.45518,0.840531,1.37506,UNC119B,,,
NaN,0.659749,1.42648,1.14387,0.81823,1.34732,SPAG7,,,
1.98699,0.703414,0.600847,1.016,0.927456,1.23969,LPP,,,
1.47843,0.544944,0.952492,1.35454,0.824894,1.31374,EIF5A,,,
NaN,1.07017,1.08529,1.24229,0.979527,1.0094,TIMM10,,,
1.82082,0.625459,1.59599,0.875254,0.574909,0.942438,CPSF6,,,
NaN,0.832068,0.544593,1.27352,1.00138,1.70525,CTSL,,,
NaN,0.650828,0.753356,1.82902,0.609692,1.49189,GGH,,,
NaN,0.790295,1.0643,1.28302,0.800843,1.38562,PITHD1,,,
1.90782,0.72853,0.97051,0.979889,0.806801,0.969276,PXN,,,
2.08328,0.491729,0.943195,1.20823,0.558861,1.07588,VBP1,,,
NaN,0.800389,1.19538,1.21389,0.801411,1.28927,SZRD1,,,
NaN,0.834512,0.714865,1.15953,1.12849,1.46195,CHURC1,,,
NaN,0.496102,1.48265,1.69904,0.670004,0.943248,NABP2,,,
NaN,0.921704,1.1387,1.32955,0.737488,1.15655,STAMBP,,,
1.48968,0.637934,1.35227,1.36502,0.313766,1.16773,PPP1R14B,,,
0.497074,0.896888,1.34133,1.09006,0.969015,1.52511,EFHD2,,,
2.12784,0.569997,0.787235,0.6623,0.822039,1.34268,FUBP1,,,
NaN,0.69131,0.885494,1.9423,0.512966,1.19721,ATOX1,,,
NaN,0.869491,1.36052,0.975471,1.02011,0.994078,DNAJC17,,,
0.452829,0.783313,1.16058,1.43135,1.00077,1.42097,PDCD5,,,
NaN,0.642246,1.92106,1.09261,0.716611,0.828483,C9orf78,,,
NaN,0.534755,1.26123,0.993472,0.732383,1.67013,CHMP1B,,,
1.54835,0.53861,1.40465,1.05779,0.458395,1.21099,GSPT1,,,
NaN,0.751507,1.03084,1.07493,0.751166,1.57037,POLR2M,,,
0.586906,0.848149,0.898701,1.38096,1.11629,1.38295,NUDT5,,,
NaN,0.520431,1.34736,1.76905,0.824201,0.716906,CRIP2,,,
NaN,0.952551,0.647951,1.11386,1.11173,1.34556,TMOD2,,,
NaN,0.546805,1.18331,1.44083,0.583914,1.41493,ATP5J,,,
2.22128,0.734227,0.961912,0.468441,0.909206,0.906635,NACA,,,
NaN,0.62924,0.640141,1.41732,0.772563,1.70849,KCTD2,,,
NaN,0.644091,0.975487,1.29009,0.954067,1.29498,HYPK,,,
1.68695,0.463881,1.061,1.0851,0.551184,1.31748,SBDS,,,
NaN,0.685184,1.41711,1.23259,0.782545,1.01495,CCDC58,,,
NaN,0.952932,1.19973,1.07436,0.873668,1.02673,RNF181,,,
0.746317,0.617324,1.0478,1.46799,0.972534,1.29854,PPP5C,,,
0.763011,0.817458,1.19982,1.04319,1.04853,1.27497,PSMD9,,,
NaN,0.609189,1.16746,1.59211,0.563748,1.1849,METTL5,,,
NaN,0.942792,1.21965,0.93092,0.98603,1.03542,FOXO3,,,
0.489569,0.796279,0.768578,2.3045,0.604309,1.15941,CPNE1,,,
NaN,0.530916,1.44564,0.884214,0.698667,1.53813,CHMP2B,,,
NaN,1.07741,1.33404,1.08936,0.936858,0.643712,SSNA1,,,
NaN,0.820803,1.47687,0.674358,0.759861,1.34893,SLC26A2,,,
NaN,0.74331,1.1652,0.914371,0.970963,1.2784,SRSF2,,,
NaN,0.779087,0.729706,1.95704,0.650497,0.955581,CRIP1,,,
0.643932,1.09449,0.640411,0.322864,1.26871,2.10254,BASP1,,,
1.97174,0.00987053,1.47072,1.34023,0.483231,0.794188,EEF1A2,,,
NaN,0.661448,0.812968,1.3752,1.02601,1.17978,GMPR2,,,
0.918528,0.781657,1.04694,1.10036,1.04606,1.16959,SGTA,,,
0.567369,0.931186,1.67546,0.8968,0.732197,1.25981,C19orf43,,,
1.12798,0.865808,0.657958,1.04693,0.955161,1.40881,CARHSP1,,,
NaN,0.753479,1.04125,1.26144,0.588524,1.39806,KIAA1522,,,
0.950472,1.00786,1.52379,0.616456,0.93793,1.00303,LARP6,,,
0.0463726,0.811402,0.967852,1.56101,0.98416,1.65874,PTMA,,,
1.2336,0.546844,0.886276,1.5781,0.572918,1.21109,OLA1,,,
2.01941,0.543251,0.705726,1.12618,0.456754,1.17639,UBE2V2,,,
NaN,0.654163,1.17032,0.7983,1.2912,1.10089,CROCC,,,
NaN,0.702071,0.901608,1.333,0.805321,1.26839,EGLN1,,,
2.12146,0.664079,0.903637,0.627422,0.817242,0.829096,PDLIM5,,,
NaN,1.00775,0.552877,0.70642,0.745633,1.94992,AXIN1,,,
NaN,0.752807,0.507594,1.03602,1.17848,1.47354,FHL3,,,
1.92087,0.543532,1.10383,0.682449,0.692516,0.989887,SMNDC1,,,
NaN,0.520737,0.959496,1.62524,0.626353,1.21216,COA6,,,
NaN,0.471386,1.24442,1.50727,0.542946,1.1761,LACTB2,,,
NaN,0.892195,0.591986,1.65296,1.21744,0.5843,SRPX,,,
1.27618,0.964667,0.897625,0.981853,0.607648,1.19522,TJP1,,,
1.15223,0.574007,0.553067,1.52342,0.840994,1.26523,PPP2CB,,,
0.749452,0.652974,1.36354,1.03544,0.90856,1.19477,PFDN1,,,
1.30062,0.663745,1.0442,0.953203,0.81964,1.11493,RAD23A,,,
1.70413,0.906377,0.958263,0.6326,0.772407,0.907517,BTF3,,,
NaN,0.7277,0.720432,1.60707,0.502379,1.34193,LGMN,,,
1.94283,0.603499,0.906536,0.830568,0.703848,0.889067,NUDC,,,
1.55279,0.841245,1.4862,0.552679,0.566746,0.873371,TJP2,,,
1.87643,0.439798,1.0512,0.894453,0.587614,1.02323,ZPR1,,,
1.6549,0.579753,0.850101,1.1992,0.598644,0.989344,CRKL,,,
1.70545,0.606714,0.854442,1.1463,0.602924,0.951491,UBXN1,,,
0.977165,0.571212,1.21463,1.11714,0.918547,1.06733,COX5B,,,
1.76227,0.359664,0.642488,1.5362,0.373838,1.18432,DDT,,,
1.30078,0.577214,1.00706,0.907823,0.785349,1.27523,NECAP2,,,
NaN,0.667912,1.56789,0.996273,0.749129,0.884211,ADO,,,
0.932247,0.599477,0.637253,1.32831,1.13332,1.18444,CNPY2,,,
NaN,0.480665,1.17341,1.26465,0.765519,1.15865,HDGFRP3,,,
NaN,0.577387,0.967357,1.1861,0.520518,1.58613,NME2P1,,,
1.3748,0.562405,0.95261,0.890719,0.905819,1.10544,DFFA,,,
0.082947,0.725886,0.911625,1.54072,1.03939,1.49097,CHURC1-FNTB,,,
1.21343,0.91545,1.21648,0.754675,0.920399,0.76293,CLIP1,,,
1.13697,0.427781,1.16156,1.53975,0.388832,1.12225,CHORDC1,,,
NaN,0.539777,1.0139,1.37015,0.42625,1.46393,FKBP14,,,
NaN,0.699128,1.24971,1.12772,0.716663,1.01611,HBS1L,,,
NaN,0.748926,1.35756,0.897586,0.846651,0.957302,,,,
NaN,0.677995,1.07589,1.26553,0.607388,1.17637,KCTD5,,,
NaN,0.868965,0.764782,0.72047,1.15935,1.28882,DSG1,,,
1.00578,0.588656,0.729073,1.19066,0.831688,1.40865,PRKCSH,,,
1.11427,0.726466,1.31912,1.02192,0.754229,0.818026,SLC9A3R1,,,
NaN,0.443575,0.606083,1.34524,1.05419,1.34452,CTBS,,,
1.50691,0.628346,1.04245,1.02031,0.644655,0.899662,TCEA1,,,
1.55006,0.348397,1.31679,0.960415,0.460192,1.087,PPA1,,,
NaN,0.839686,1.03442,1.01924,1.07183,0.797645,GTF2A2,,,
1.54828,0.616769,0.473348,0.680597,0.920673,1.46324,OPTN,,,
NaN,0.722354,0.726578,1.24944,0.683002,1.36984,DNASE2,,,
0.862402,0.497228,1.26245,1.38376,0.550537,1.1373,ARL2,,,
1.28328,0.526953,1.36569,0.836193,0.544939,1.13611,FNBP1,,,
0.887105,0.717601,0.963757,1.17559,0.93474,1.01322,NASP,,,
NaN,0.668557,1.02154,0.734628,1.01774,1.30023,TBCC,,,
NaN,0.681561,1.01073,1.29935,0.494548,1.25429,UFM1,,,
NaN,0.780859,1.16572,1.03675,0.924924,0.828804,RIOK1,,,
1.32697,0.257739,1.08872,0.803305,1.01803,1.18535,PAWR,,,
0.922831,0.696817,1.29907,1.41949,0.319309,1.02119,CCDC43,,,
NaN,0.498028,1.31084,0.78931,0.736845,1.36754,CHMP5,,,
1.21282,0.478093,0.737329,1.19201,0.77359,1.23666,PSME1,,,
NaN,0.774704,0.929629,0.714559,0.894673,1.36229,KCTD3,,,
NaN,0.619703,1.07158,1.21504,0.668007,1.10109,LZIC,,,
NaN,0.585665,0.879287,0.97354,1.02385,1.19841,DR1,,,
NaN,0.855916,1.40007,1.36986,0.587018,0.44417,TWISTNB,,,
NaN,0.59324,0.39052,1.39447,0.821533,1.45132,CALU,,,
NaN,0.729151,1.17788,1.01015,0.866827,0.865275,PPAT,,,
NaN,0.741537,1.30526,1.13379,0.719667,0.743206,TMED8,,,
NaN,0.437328,1.15057,1.34044,0.640894,1.06557,RNF113A,,,
1.57328,0.570159,0.859692,0.782293,0.802168,0.972807,NSFL1C,,,
1.60294,0.606483,0.900692,0.964146,0.647427,0.832066,RUVBL1,,,
NaN,0.791584,0.989333,0.949226,0.74131,1.14599,SRA1,,,
NaN,0.428125,1.39904,0.515717,1.35438,0.91715,TFPI,,,
2.04771,0.337937,1.18588,0.865927,0.698792,0.395837,FABP5,,,
NaN,0.768349,1.38053,0.53102,1.05113,0.848824,NOL3,,,
NaN,0.699276,0.936857,1.04044,0.81954,1.0803,NMI,,,
NaN,0.606175,1.28042,0.84917,0.704348,1.11523,TRMT10A,,,
0.925638,0.611562,0.78707,1.26694,0.790772,1.08255,GGCT,,,
NaN,0.586613,1.36786,1.14881,0.402434,1.04711,CHCHD10,,,
NaN,0.46346,0.867559,1.32888,0.702574,1.18307,COX6B1,,,
1.0083,0.596568,1.19477,1.05334,0.615171,0.986301,PFDN2,,,
0.379919,0.700627,0.595927,1.45055,1.22194,1.10133,UQCRH,,,
NaN,0.590705,1.32914,1.3327,0.436445,0.851313,C15orf40,,,
NaN,0.630775,1.24088,0.899866,0.539927,1.22001,ILKAP,,,
NaN,0.463227,1.73735,0.96217,0.644382,0.704357,LUC7L3,,,
NaN,0.421965,1.33673,1.13431,0.615101,0.988544,CWC27,,,
NaN,0.741603,0.806222,1.49597,0.480606,0.971335,PPP1R3D,,,
NaN,0.550515,0.503757,1.27208,1.17158,0.99776,LSM5,,,
1.15223,0.501517,0.681013,1.38678,0.641203,1.03013,PPP2CA,,,
NaN,0.653337,0.547649,1.4236,0.506701,1.36223,GSN,,,
NaN,0.795506,0.809933,0.520037,0.812235,1.55089,CAST,,,
1.78458,0.671851,1.39131,0.670155,0.767752,0.0953865,CPNE3,,,
1.32091,0.521832,0.535276,1.11746,0.714153,1.16927,CRK,,,
0.30251,0.614034,0.881321,0.939152,0.991871,1.64899,TXN,,,
1.23768,0.6284,0.901564,0.809572,0.595942,1.20141,RAD23B,,,
NaN,0.551023,1.06252,1.46609,0.551613,0.843533,GFM1,,,
0.85421,0.560255,0.768304,1.15983,1.0833,0.941245,WBP2,,,
1.1222,0.72004,0.88973,0.936565,0.596786,1.09281,SH3KBP1,,,
NaN,0.655253,0.529171,0.907575,0.808087,1.5611,C1orf198,,,
1.59653,0.448089,1.72795,0.503954,0.551182,0.514833,CCDC124,,,
8.65E-05,0.813441,1.25928,1.05141,0.769761,1.44391,CHMP1A,,,
NaN,0.381847,1.05079,1.17707,0.428987,1.40738,UBL5,,,
1.40914,0.451404,0.967052,0.735746,0.653431,1.11529,SNRPB2,,,
NaN,0.826694,0.677004,0.911458,0.835695,1.18346,FAM195B,,,
NaN,0.569574,0.44099,1.09566,0.646325,1.68105,AGA,,,
1.80267,0.420466,0.999098,0.463146,0.653273,0.979332,EDF1,,,
NaN,1.19536,0.258121,0.650895,1.2812,1.0418,BRD1,,,
NaN,0.583314,0.7309,0.840129,0.974216,1.29138,CDKN1B,,,
NaN,0.455686,1.21181,0.791676,0.671514,1.27867,GFER,,,
1.07402,0.662166,0.470209,1.17862,0.815891,1.0821,DPYSL2,,,
0.889856,0.708812,0.963872,1.11046,0.756765,0.851481,PPM1A,,,
NaN,0.854172,1.0091,1.05992,0.5697,0.906848,AGFG2,,,
NaN,0.710955,0.774056,1.06656,0.638541,1.20662,COX17,,,
NaN,0.357945,0.980553,0.929401,0.936078,1.18576,BAD,,,
0.610615,0.400403,1.24838,1.13907,0.756979,1.10148,DTD1,,,
1.79223,0.641906,0.492424,0.539793,0.641363,1.1462,PALLD,,,
1.51309,0.442393,0.757338,0.841979,0.528854,1.16532,HINT1,,,
NaN,0.73907,1.19225,0.759759,0.840306,0.842449,LSM1,,,
NaN,0.740304,0.601505,0.824646,0.999818,1.20636,CSRP2,,,
NaN,0.726636,0.708052,1.10883,0.650973,1.17238,DNAH17,,,
NaN,0.540711,0.653497,1.20508,0.853319,1.10002,SUMF1,,,
NaN,0.77106,0.532143,1.53029,0.445546,1.06804,GALNS,,,
NaN,0.607041,0.740876,1.22601,0.970468,0.796352,CKS2,,,
1.28869,0.435901,0.802302,1.37938,0.551767,0.750447,RTFDC1,,,
NaN,0.76278,0.77609,1.31212,0.631825,0.854459,OXR1,,,
NaN,0.749195,0.764419,0.809595,0.707749,1.30232,GSKIP,,,
NaN,0.871982,0.795157,1.0794,0.450952,1.12688,CNPY4,,,
0.883749,0.72137,1.13618,1.03786,0.323314,1.08623,BOLA2,,,
NaN,0.647813,1.25579,0.839664,0.406626,1.17243,KIAA0907,,,
1.23191,0.32847,1.00809,0.838028,0.45486,1.32108,CNBP,,,
NaN,0.259023,0.780926,1.19652,0.946907,1.1344,NUDT3,,,
NaN,0.727412,1.15169,1.04238,0.486814,0.905478,HTATSF1,,,
1.00684,1.19655,0.69829,0.885768,0.682467,0.702323,CALB2,,,
NaN,0.520631,0.623112,0.828701,0.923685,1.41306,NUCB2,,,
NaN,0.955268,1.3536,0.576068,0.338674,1.07253,LRP11,,,
NaN,0.428357,1.29169,0.949982,0.476891,1.14857,LSM6,,,
NaN,0.807672,0.784927,1.05664,0.494421,1.14746,WBP4,,,
1.69437,0.384252,0.799728,1.11465,0.374365,0.763849,ECH1,,,
NaN,0.869771,0.497904,0.54084,1.07522,1.29059,IGF2,,,
1.27618,0.687163,0.88484,0.798115,0.59741,0.883884,TJP1,,,
NaN,0.511454,1.07937,1.14776,0.567822,0.956779,ACYP1,,,
NaN,0.392673,0.359662,1.20787,0.808878,1.47492,GNS,,,
0.102136,0.589196,0.795757,1.16502,1.1187,1.31747,MTPN,,,
NaN,0.516606,1.52546,0.847228,0.62349,0.72694,CCDC94,,,
NaN,0.60178,1.36231,1.139,0.139471,0.986775,RNF220,,,
NaN,0.622113,0.423938,1.182,0.777621,1.21816,FDX1L,,,
NaN,0.617698,1.16366,0.980612,0.578236,0.878529,COX19,,,
NaN,0.581485,0.890638,1.26118,0.61052,0.871263,PPIL4,,,
NaN,0.791056,0.686957,0.989189,1.07865,0.669144,TPM1,,,
1.0506,0.638238,0.724583,0.709269,0.696114,1.23184,PPP1R18,,,
NaN,0.437351,0.778248,1.15388,1.09416,0.744139,C10orf32,,,
NaN,0.603036,1.01248,1.27759,0.426184,0.886424,THUMPD3,,,
1.23447,0.699996,0.554161,0.981947,0.872046,0.702759,STAMBPL1,,,
NaN,0.580596,0.638129,1.08722,0.703487,1.19206,CCS,,,
1.63673,0.743798,0.626674,0.666298,0.679506,0.680902,CD2AP,,,
0.111808,0.64071,0.981388,1.39578,0.74305,1.15285,TARS,,,
NaN,0.723058,1.05279,0.823913,0.75789,0.830059,SHC1,,,
1.31786,0.66735,0.810625,0.476313,0.83465,0.913729,SH3GL1,,,
NaN,0.736221,0.656285,0.213351,1.12969,1.4471,DCD,,,
NaN,0.425117,0.834379,0.618573,0.866185,1.43337,FSTL1,,,
NaN,0.505065,1.56687,0.647492,0.649241,0.800714,LUC7L,,,
1.14033,0.611465,0.661066,0.873957,0.716183,0.998125,DBNL,,,
0.628368,0.709598,1.22299,0.994672,0.549449,0.895634,WASL,,,
NaN,0.836745,0.410081,1.04249,0.677724,1.19977,LARP1B,,,
0.764701,0.5435,1.19437,1.19092,0.725885,0.579186,METAP2,,,
NaN,0.887498,0.89464,0.685471,0.899853,0.796438,CASC3,,,
NaN,0.96151,0.692466,1.34517,1.07307,0.0903006,PLXND1,,,
