Log2 (prot/body) MDAMB231*,Log2 (prot/body) U87,Log2 (prot/body) PC3M,Log2 (prot/body) WM266.4,Log2 (prot/body) RPE,Log2 (prot/body) BJ, Gene name,,,
1.66415,0.323386,0.223746,0.870162,0.627899,0.48629,RPS6,,,
1.05815,1.30939,1.00194,0.836278,0.888253,0.70628,RPLP1,,,
1.67887,0.928682,0.465675,0.755491,0.755385,0.444454,RPS24,,,
1.78102,0.918182,0.757505,1.2214,0.996818,0.330312,RPS2,,,
0.92545,1.37639,1.12287,0.46118,0.837665,0.754106,RPS11,,,
1.36402,0.342929,0.181261,0.983458,0.775959,0.280414,RPL13a,,,
1.93685,0.457519,0.500976,0.968165,0.878453,0.495646,RPL11,,,
1.64444,0.574307,0.362641,0.619943,0.819229,0.296518,RPS8,,,
1.69259,0.271442,-0.185089,0.954378,1.11047,0.572452,RPS27A,,,
1.47251,0.177544,0.111689,1.05345,0.46787,0.067688,RPS3A,,,
2.9229,0.649086,0.385348,1.29097,0.721374,0.815942,RPL37,,,
1.35606,0.471472,0.664979,0.875314,0.982867,0.651805,RPL10,,,
2.21305,-0.170182,-0.173961,1.0354,0.732147,0.258285,RPL7A,,,
0.67673,0.630053,0.43855,0.607732,0.773768,0.484796,RPS3,,,
0.68986,-0.0670288,-0.373683,0.688679,1.04272,0.708555,FAU,,,
2.15106,-0.0728014,0.461854,1.09348,0.645358,0.466739,RPL30,,,
0.187365,0.693533,0.287942,1.06039,0.780851,0.473297,RPL8,,,
2.42473,0.888664,0.419913,0.943493,0.500652,0.296003,RPL26,,,
1.69534,0.743488,0.680803,0.278134,1.30325,0.871276,RPL29,,,
1.57216,-0.13581,-0.623606,0.849865,0.714762,0.764018,DKFZp586O1224,,,
1.1402,0.119287,0.280662,1.06609,0.491338,0.708179,RPL9,,,
0.77497,0.680163,-0.183691,0.528068,1.13802,0.671649,RPS14,,,
2.53788,0.260141,0.148531,0.458745,0.0584965,0.599189,RPL36AL,,,
0.959825,0.217813,-0.0210099,1.03281,0.824962,0.326539,RPL13,,,
1.91265,0.996464,0.361927,0.287982,0.528227,0.31805,RPS9,,,
2.78491,0.055218,-0.235886,0.574342,0.869062,0.503269,RPS21,,,
2.62732,-0.38374,-0.141469,1.26632,0.732623,0.277747,RPS7,,,
1.72791,0.839731,0.555562,1.0439,0.586713,0.773971,RPL38,,,
1.90722,-0.165846,-0.0585704,0.667609,0.682677,0.428589,RPL4,,,
1.92021,0.260547,0.491777,0.662551,0.480639,0.337576,RPL15,,,
2.81784,0.669946,0.604998,0.451486,0.676412,0.540517,RPLP2,,,
2.48177,0.830736,0.682622,0.866574,0.369485,0.555229,RPS27,,,
2.14826,0.426176,0.436223,0.924804,0.29302,0.485592,RPL35A,,,
2.13221,1.65939,0.361404,0.328347,0.62272,0.39604,RPS27L,,,
2.04441,-0.198615,0.0240932,1.17466,0.533011,0.745593,RPS23,,,
2.09451,0.567335,0.447376,0.395249,0.361623,0.549948,RPL14,,,
2.36981,0.606491,-0.124048,0.0223079,0.458166,0.678743,RPS26,,,
1.72499,0.683118,0.160229,1.24206,1.08913,0.779351,RPL37A,,,
2.78052,1.27191,0.884479,0.928091,0.940013,0.64886,RPL12,,,
1.9248,1.08215,0.835911,0.943107,0.762959,0.575134,RPS4X,,,
0.543178,0.604429,0.0387216,0.449365,1.04609,0.536225,RPL23A,,,
0.90927,0.181844,-0.224867,1.08209,0.486266,0.268754,RPL10A,,,
1.71785,-0.196909,0.127259,1.17106,1.21001,0.75294,RPS29,,,
1.95263,0.922132,0.615359,0.89553,0.733367,0.457142,UBA52,,,
1.82583,0.0383227,0.11411,0.988441,1.04626,0.679689,RPS18,,,
2.25372,0.973481,0.181356,0.924882,1.5001,0.897645,RPS28,,,
0.904765,-1.18166,-1.58103,-2.60381,-2.40011,-1.84457,TSPAN6,,,
1.13682,0.215192,-0.252521,0.55028,-1.64839,0.743975,DPM1,,,
0.148935,-2.16716,2.4112,NaN,NaN,NaN,SCYL3,,,
0.47151,-3.29269,NaN,-2.78488,-0.281711,NaN,C1orf112,,,
NaN,-1.54062,NaN,NaN,-3.46871,-2.54749,CFH,,,
-0.030425,-2.66353,-0.928434,-1.2253,-1.52325,-1.83523,FUCA2,,,
-0.536542,1.11611,-0.12783,NaN,0.618753,2.96523,GCLC,,,
0.560283,0.811642,-0.356143,-1.1719,0.325972,-1.89038,NFYA,,,
-0.260212,3.6142,0.433222,0.586257,0.422833,0.787696,STPG1,,,
-0.0069375,-1.26693,-0.513002,-0.916341,-0.82255,-0.399886,NIPAL3,,,
-0.2403,0.327457,0.392598,-0.482599,-0.569692,0.872585,LAS1L,,,
NaN,-0.140692,NaN,NaN,NaN,NaN,ENPP4,,,
NaN,NaN,-1.26919,NaN,-2.53761,-0.982822,SEMA3F,,,
0.431783,0.72313,0.783459,0.67309,0.839398,1.03508,ANKIB1,,,
0.594093,NaN,-1.98874,NaN,NaN,NaN,CYP51A1,,,
0.806135,-1.33924,-0.951375,-0.425473,-0.532254,-0.852761,KRIT1,,,
0.27355,0.761481,0.712704,0.61958,0.854172,0.28065,BAD,,,
-0.0836149,0.385377,0.525174,-0.266639,-1.25899,0.515076,LAP3,,,
-0.365865,-0.912908,-0.265107,-1.53789,-1.86136,-0.953084,CD99,,,
-2.24776,NaN,0.789707,NaN,NaN,NaN,HS3ST1,,,
NaN,4.6615,NaN,NaN,NaN,NaN,HECW1,,,
-0.52822,-0.207806,-1.6477,0.14689,0.0402172,-1.47534,MAD1L1,,,
-1.27338,-0.482853,0.451391,0.299004,0.596017,-0.429214,LASP1,,,
0.0766525,1.29227,-1.52132,1.15388,-0.0172334,-1.01376,SNX11,,,
NaN,-2.10005,-0.344148,NaN,-2.37447,-0.707999,M6PR,,,
NaN,-0.331169,1.48159,NaN,0.495897,NaN,KLHL13,,,
-0.834167,-4.46262,NaN,5.30788,0.785403,NaN,CYP26B1,,,
NaN,NaN,1.45184,-0.796633,NaN,0.524662,ICA1,,,
-1.06202,0.668831,-0.441247,-0.373942,1.77718,1.02216,DBNDD1,,,
-0.0264875,0.251626,1.84416,NaN,-0.516731,0.369776,ALS2,,,
NaN,1.18124,1.4112,2.80985,NaN,NaN,CASP10,,,
0.01466,0.566,-0.302311,0.500527,0.254513,-0.681242,CFLAR,,,
0.0703049,-2.15041,-0.954879,NaN,-1.96228,-1.8064,TFPI,,,
0.240622,1.09122,-0.847307,-0.77107,NaN,0.787696,NDUFAF7,,,
NaN,-1.71069,-1.66001,-1.13665,-0.814207,0.0213046,RBM5,,,
1.16832,NaN,-2.65875,NaN,NaN,NaN,SLC7A2,,,
0.18001,NaN,-1.5737,NaN,NaN,NaN,ARF5,,,
NaN,0.643175,NaN,-0.762507,-2.69956,0.0454941,SARM1,,,
0.08356,0.14996,0.0575585,1.24677,0.75194,-0.381257,POLDIP2,,,
-2.53962,NaN,0.548699,0.607442,-3.67403,-0.2308,PLXND1,,,
0.545255,0.301893,0.296995,0.500527,-0.493215,0.412769,AK2,,,
0.42301,0.344368,0.145762,-3.49194,0.0948524,-0.307784,FKBP4,,,
-0.10196,0.0972517,0.553043,-0.141921,-0.431458,0.109624,KDM1A,,,
NaN,-1.32664,0.0619602,0.570236,0.621517,0.77444,RBM6,,,
-1.33662,-3.41109,-0.495695,NaN,NaN,2.65711,CAMKK1,,,
0.912195,0.286168,0.645941,-0.892954,-1.76096,-0.179882,RECQL,,,
1.36531,-1.38891,1.92216,-2.94793,-0.491165,NaN,CCDC132,,,
NaN,-0.720116,NaN,NaN,NaN,-0.651188,HSPB6,,,
-3.04013,NaN,0.67423,NaN,NaN,NaN,ARHGAP33,,,
1.06368,0.0354407,0.464777,-0.0544829,0.356154,-0.42827,NDUFAB1,,,
-1.36047,NaN,-3.02621,NaN,NaN,NaN,PDK4,,,
NaN,-0.614623,NaN,NaN,-0.451636,NaN,ZMYND10,,,
NaN,NaN,NaN,-0.282375,NaN,NaN,ABCB5,,,
0.473888,0.177756,-0.257383,-0.194444,1.4209,NaN,SLC25A13,,,
0.709675,-1.46262,0.267605,-0.0363412,-1.3406,-3.11919,ST7,,,
0.664433,-0.516848,0.129812,0.223169,0.277717,-0.934336,CDC27,,,
0.52528,-0.347142,-0.416679,-0.257584,-0.383156,-0.293065,HCCS,,,
-1.82783,0.280633,-0.836732,-0.291189,1.03682,-0.312609,DVL2,,,
-0.9607,-0.450236,-0.277765,-0.00258398,0.00208187,-0.0887895,UPF1,,,
1.11776,-8.70E-05,1.22993,-0.229965,-4.62156,-0.941002,SKAP2,,,
0.31257,-0.472962,0.126559,0.0184102,-0.219811,0.396146,SLC25A5,,,
1.26814,1.13202,0.397899,-1.53723,0.939107,-3.72958,CCDC109B,,,
NaN,NaN,-3.41323,NaN,NaN,0.474257,HOXA11,,,
0.72029,1.4272,1.09294,2.01126,1.14582,0.175858,POLR2J,,,
0.212532,0.425534,-0.107823,0.125892,0.0208521,-0.38514,DHX33,,,
-0.0862175,-0.687554,-0.32577,-0.55194,-0.0551186,-1.92851,LIG3,,,
1.17615,-1.33743,0.11654,-0.863356,0.327667,-0.187761,RPAP3,,,
NaN,NaN,-1.91073,NaN,NaN,NaN,ACSM3,,,
NaN,-1.67121,-0.148892,1.41033,0.749998,NaN,LOC81691,,,
0.877762,-0.117608,1.31335,1.75251,-0.0279546,-1.24793,CIAPIN1,,,
-2.38892,-2.41823,-2.54078,-1.01076,-0.994429,-1.3868,SPPL2B,,,
-0.802147,0.111696,0.844155,NaN,0.431007,-0.873888,FAM214B,,,
0.40535,1.77442,NaN,-0.638127,0.880939,0.737993,COPZ2,,,
NaN,0.682643,-0.409834,0.247007,0.415726,-1.09983,PRKAR2B,,,
1.12811,0.416856,1.00505,0.871509,0.644488,-0.278106,MSL3,,,
-2.0315,-0.0790994,-0.12817,0.843415,1.19066,-0.270518,CREBBP,,,
NaN,NaN,NaN,NaN,-1.55473,NaN,BZRAP1,,,
1.09697,4.40775,-0.124857,NaN,1.56629,3.8939,GCFC2,,,
-0.690605,-0.329453,-1.49083,0.264898,-0.405478,-1.90923,WDR54,,,
NaN,-1.05823,-0.573698,-0.42758,-2.0366,-2.23023,CROT,,,
NaN,NaN,NaN,-3.06665,NaN,NaN,ABCB4,,,
NaN,1.32106,0.406297,0.95914,0.591866,-1.21856,KMT2E,,,
-0.906855,-0.444698,-0.277941,0.917481,-3.0366,0.390013,RHBDD2,,,
1.20999,0.901185,0.88036,-0.300616,-0.511155,0.46619,IBTK,,,
0.873155,-3.46262,-0.500856,-0.693851,-1.86667,NaN,ZNF195,,,
0.469543,0.534157,0.623246,-2.00849,-0.183147,1.26163,MYCBP2,,,
0.0440325,-2.04072,-0.453526,0.772073,-1.56375,0.0255599,FBXL3,,,
-1.08953,0.292268,-0.0689945,1.27066,1.87655,0.147427,PDK2,,,
-1.91855,-0.926062,-0.3899,-2.39024,-1.61834,-0.0513673,ITGA3,,,
-0.115248,-0.92741,-0.894338,-0.585049,-3.55473,-0.430944,ZFX,,,
0.36349,-2.43097,-1.40699,-1.53557,-2.0141,-1.46841,LAMP2,,,
0.996928,0.189633,0.440009,0.10187,-0.372822,-0.680839,GDE1,,,
-0.11467,0.196981,-0.203227,-0.086925,0.958753,0.0147653,C19orf60,,,
NaN,NaN,2.56732,NaN,NaN,NaN,CRLF1,,,
NaN,-1.87766,-1.6477,NaN,1.6479,NaN,OSBPL7,,,
NaN,-1.16191,0.500201,-0.655303,0.0719261,-0.540547,TMEM98,,,
-0.677837,0.209806,-1.39186,0.359171,-0.906202,0.325353,MAP3K14,,,
-3.52505,-0.643192,-1.13312,0.616004,-0.698074,-0.475338,TMEM132A,,,
1.03423,1.55937,0.12651,-0.755344,0.149536,-0.430035,AP2B1,,,
-0.571748,1.09962,-0.507973,0.591675,0.16277,0.570466,ZNF263,,,
-0.48337,1.43849,0.143715,0.286402,-0.49603,-0.0401225,SPATA20,,,
0.166685,-2.092,-0.817976,-3.30305,-1.19454,-0.986702,TNFRSF12A,,,
-1.37294,-0.00318837,-0.910733,1.98595,1.56629,NaN,MAP3K9,,,
0.560323,0.536034,0.252404,1.32596,0.322244,-0.377,RALA,,,
-0.165578,NaN,-0.209018,-0.110548,1.04281,NaN,BAIAP2L1,,,
NaN,-2.43405,0.0892677,1.54155,0.360737,0.972121,KDM7A,,,
0.784938,0.194254,0.846411,-0.66609,-1.23983,-0.669019,ETV1,,,
0.0758225,0.777694,-0.873974,-0.414357,0.573899,NaN,AGK,,,
-1.4408,0.337497,1.66002,-0.586936,0.362958,0.680232,ALDH3B1,,,
0.185885,-2.28365,-0.285877,-2.16918,-3.46758,-2.10168,PHTF2,,,
NaN,0.754611,-1.91073,NaN,NaN,NaN,CCL26,,,
NaN,2.38538,0.781145,0.0644279,-0.866673,0.308933,FARP2,,,
0.575198,0.36711,-0.340126,0.738076,1.54355,1.03562,GGCT,,,
-0.27053,-0.536768,-0.251769,-0.14158,-0.76598,-2.0802,DBF4,,,
-2.35617,-1.98659,NaN,NaN,0.258857,-0.175778,TBXA2R,,,
0.578878,-0.320175,-0.297573,-1.01653,-2.98467,-0.196184,IFRD1,,,
0.244493,0.694814,-0.453149,1.62037,1.32095,0.167727,COX10,,,
-1.97251,1.56357,-0.394812,NaN,-1.51053,0.285196,GTF2IRD1,,,
-0.673075,-0.877657,0.595375,0.763561,-0.400105,0.449527,PAF1,,,
0.343908,0.480534,0.451838,-0.168337,0.305793,0.830288,VPS41,,,
NaN,NaN,NaN,NaN,NaN,0.162092,ARHGAP44,,,
-0.52265,-1.14069,0.122588,-1.74048,-1.45164,-0.413938,ELAC2,,,
NaN,NaN,-1.67627,NaN,NaN,NaN,SCIN,,,
-0.666655,-3.84964,-2.5737,NaN,-0.959783,-0.329487,ARSD,,,
0.528118,NaN,0.295718,-1.04837,NaN,NaN,PNPLA4,,,
0.434182,-1.42394,-0.43201,-1.46874,-0.996522,-0.152183,ADIPOR2,,,
NaN,0.51466,NaN,NaN,0.741009,NaN,CDKL3,,,
-1.51991,0.945465,0.594059,-0.814975,0.0281444,0.308344,MARK4,,,
0.00646496,1.72837,0.553548,1.31832,0.527958,1.52009,CCDC124,,,
0.617218,-0.676538,0.547697,-0.339139,-0.342446,-0.169284,PAFAH1B1,,,
NaN,0.0139663,0.0178828,-1.14333,-0.696749,-0.282693,KIAA0100,,,
NaN,NaN,NaN,0.617229,NaN,NaN,GAS7,,,
-0.992565,0.9719,-0.82827,0.218756,0.410861,-0.00931692,TRAPPC6A,,,
NaN,-1.81054,-0.133125,-2.5351,0.733719,-0.797266,ST7L,,,
NaN,1.63014,NaN,NaN,-0.302773,NaN,PAX6,,,
-1.70531,2.41626,0.153398,NaN,-0.805273,0.855868,RPUSD1,,,
-2.20248,0.67254,-0.258656,-0.205451,-0.699564,-0.575942,RHBDF1,,,
0.56217,-0.438125,-0.124136,-0.366207,-1.83449,-2.89936,LUC7L,,,
0.00699499,NaN,-0.647698,NaN,NaN,NaN,BAIAP3,,,
-0.209635,1.01741,0.257157,1.32432,0.713218,1.00291,TSR3,,,
NaN,1.355,-1.47261,-0.475226,1.35092,-1.0603,PIGQ,,,
NaN,NaN,-0.356797,NaN,-0.343112,NaN,CRAMP1L,,,
-1.90449,NaN,NaN,NaN,-0.310976,-0.916848,TEAD3,,,
-0.22874,0.236234,-0.143932,NaN,0.292024,0.836606,DNAJC11,,,
-0.749022,NaN,-0.246336,0.474055,NaN,NaN,MYLIP,,,
NaN,-1.24761,NaN,NaN,2.35572,NaN,E2F2,,,
1.22031,0.309969,-0.447141,0.527878,-0.241956,0.179431,PSMB1,,,
-0.651423,-1.29269,-1.1298,-0.0704474,0.27249,-0.463415,JARID2,,,
NaN,3.06486,0.451838,-0.936112,-1.45164,1.09555,CDKL5,,,
NaN,NaN,NaN,NaN,1.03379,-1.47534,CAMK1G,,,
-2.47843,1.51466,0.67423,1.70406,0.971576,0.0785975,NADK,,,
-0.674015,0.302915,0.383715,0.118058,0.234256,0.235155,CYTH3,,,
NaN,-0.877657,-2.23266,0.159903,-2.39024,1.52466,ADAM22,,,
0.0383925,-1.95428,-0.112367,-0.264589,-1.20154,NaN,SYPL1,,,
-1.06498,0.435008,-0.512768,-1.94005,-1.75281,-1.60462,CYB561,,,
0.724923,-1.36167,0.0308099,-0.801263,0.0895729,-0.70901,SPAG9,,,
-2.31308,3.46219,-0.647698,-0.877985,NaN,NaN,CELSR3,,,
0.42321,NaN,0.439765,1.66099,-1.00418,0.872585,AASS,,,
0.870015,0.442015,-0.200239,-0.186534,0.543415,0.398345,SS18L2,,,
-0.950238,0.633305,0.155763,-0.858554,1.06294,0.824222,MPND,,,
0.72898,-2.07838,-0.702184,1.23749,-0.536968,-0.915288,MGST1,,,
0.962913,0.836588,-0.658345,-0.835076,-0.769376,-0.849734,CRY1,,,
-0.456672,1.86219,1.01937,1.75799,0.073101,0.174436,NFIX,,,
0.286618,-1.99991,-1.04661,-0.923837,-0.792146,-0.573812,ST3GAL1,,,
NaN,NaN,NaN,NaN,-0.714671,NaN,mmp20,,,
0.544468,NaN,0.243596,NaN,NaN,NaN,IL32,,,
NaN,NaN,1.43322,NaN,-0.216258,-0.637609,PKD1,,,
NaN,NaN,NaN,2.33878,NaN,NaN,MAPK8IP2,,,
-1.50962,0.148138,-0.295396,-0.207163,0.173644,-0.026463,MED24,,,
-0.822247,2.12877,0.635756,-0.243134,-1.62749,-2.33332,RHOBTB2,,,
0.0829599,NaN,0.979084,0.418065,NaN,-0.112768,HEATR5B,,,
-0.11814,-1.11621,-0.802296,-1.15623,-0.828769,-1.10599,SEC62,,,
0.75529,0.553898,0.0271745,0.772292,0.666606,0.462568,CSDE1,,,
0.64207,-0.105179,-0.106552,0.241637,0.331351,-0.0313005,UBE3C,,,
0.40087,3.2398,-0.171736,-0.589545,0.409981,0.498351,REV3L,,,
NaN,NaN,-1.55843,-2.03744,NaN,NaN,TENM1,,,
0.37157,0.136989,0.516689,-0.539001,-0.188601,-0.358525,FAM76A,,,
-1.15466,-1.24803,-0.939587,-1.16505,-0.616695,-1.9032,POMT2,,,
0.492628,0.824662,0.142169,0.653279,0.225306,-0.375087,VTA1,,,
NaN,NaN,-2.13312,NaN,NaN,NaN,MLXIPL,,,
0.0790325,0.665076,0.224427,0.318734,0.358654,1.27168,BAZ1B,,,
-0.21697,5.02923,0.331628,0.348524,-0.116997,-0.629461,RANBP9,,,
-0.583888,-0.341604,-0.746613,0.643891,-0.371146,-1.10337,SPRTN,,,
-0.131213,-1.62768,-0.0821662,-1.64922,-0.816047,-3.3607,METTL13,,,
1.35652,0.82595,2.3523,1.39983,0.572438,-0.430109,DYRK4,,,
0.48647,-0.727496,-0.0702109,-0.407397,-0.373453,-0.160464,ZNF207,,,
-0.48881,-0.144597,0.0441799,-0.125037,0.285329,0.275142,UQCRC1,,,
0.997797,-0.607568,0.433222,1.31666,0.315805,-0.712917,STARD3NL,,,
0.48559,-4.78226,-1.51443,-1.83729,-1.87272,-2.13926,CD9,,,
-0.531645,-0.22558,0.126742,0.691282,0.138823,-0.123036,NCAPD2,,,
NaN,-0.0482762,0.67423,0.561928,-0.328779,0.511606,IFFO1,,,
-0.023465,NaN,-2.13312,1.55299,0.303252,0.279549,PHF7,,,
-1.55885,2.02923,-0.145949,-0.344963,-0.483345,0.858563,NISCH,,,
-1.3286,0.707305,NaN,NaN,-1.86667,2.45755,FUZ,,,
1.34916,0.530347,0.807661,0.630588,0.353554,-0.144851,IDS,,,
0.7203,0.456121,0.77594,NaN,NaN,-2.82111,PRSS3,,,
-0.575785,NaN,-1.02621,NaN,-1.58914,0.524662,ZNF200,,,
NaN,1.50249,0.512479,1.30602,0.258858,0.178887,LRRC23,,,
-0.762563,0.916759,NaN,0.294076,NaN,-1.03722,HFE,,,
-0.345692,0.17621,-0.548162,-0.661224,-0.3521,0.747054,SCMH1,,,
-0.36704,0.686695,1.12354,-0.0280442,-0.254744,0.45832,FYN,,,
0.525832,0.0552285,-0.497536,-0.678276,0.0165129,-0.432034,HIVEP2,,,
0.705382,-0.0726736,-0.50455,0.409258,-0.197425,-0.227026,TCEB3,,,
-1.07074,0.820962,0.595519,0.521589,0.907701,0.196336,LYPLA2,,,
-0.840613,NaN,-0.588804,-4.83932,-0.111786,1.26163,CLCN6,,,
-1.74414,-2.04272,-0.647698,-1.11598,-2.32206,-2.42903,MRC2,,,
-1.36642,-0.950588,0.67423,-1.56017,-0.916714,-0.510527,TSPAN9,,,
0.221868,0.260206,-0.172614,-0.434732,0.283467,0.128121,BTBD7,,,
-1.67964,1.29227,NaN,-0.61495,1.54836,1.40336,APBA3,,,
-0.39125,1.62484,-0.0737906,-1.84525,1.58704,NaN,MKS1,,,
1.02253,3.46812,0.996158,NaN,0.0508642,1.54403,ABHD5,,,
-0.7833,1.70731,-0.545968,-1.68122,-0.793917,0.923212,AKAP8L,,,
-0.30074,0.23782,0.796221,NaN,-0.0435514,-1.55875,MBTD1,,,
0.980302,-1.22208,0.15557,-0.237566,0.230425,0.0930729,UTP18,,,
-1.19422,0.26802,-0.19822,0.312765,0.0517964,0.824581,RNF216,,,
1.47798,0.0229199,-1.2613,-0.505212,-0.621561,0.223281,TTC19,,,
-0.16246,0.552309,-0.102919,-0.176953,-0.158387,-0.123714,PTBP1,,,
-0.548195,1.49798,-2.61117,2.50053,NaN,1.95762,DPF1,,,
NaN,NaN,0.435546,NaN,NaN,1.82952,SYT7,,,
-0.558427,-1.7915,-2.38466,-0.631923,-0.525636,NaN,LARS2,,,
1.2341,0.614793,-0.135474,0.117524,-0.365479,0.479147,PIK3C2A,,,
-0.223565,-2.60516,-0.332527,-2.22739,-1.61374,-2.53999,PLAUR,,,
NaN,-2.04272,-1.62896,-1.14249,-1.08152,2.37641,ANLN,,,
-0.73838,-0.575767,-0.0553184,0.84845,-0.548312,1.7269,WIZ,,,
0.566743,0.216096,0.344265,0.408195,0.194945,0.393417,RABGAP1,,,
NaN,-0.0862439,NaN,NaN,NaN,-1.70314,DCN,,,
-1.03385,NaN,1.08927,NaN,NaN,NaN,QPCTL,,,
-0.398925,-1.21675,0.925769,0.278134,-0.474356,-0.112768,PPP5C,,,
-1.6195,0.996812,0.126742,NaN,NaN,-1.49524,CEP68,,,
0.382953,-2.36308,0.553093,-1.49947,0.560748,-0.392876,MAP4K3,,,
0.279957,-2.59936,0.634702,NaN,0.613319,0.403356,TMEM159,,,
NaN,-0.940983,0.138177,-0.0307479,NaN,NaN,GABRA3,,,
-0.71646,0.118307,-1.62533,0.233047,0.244358,NaN,BRCA1,,,
0.17063,-0.393978,0.244546,-0.84643,-0.32388,-0.451091,ERCC1,,,
-0.625305,NaN,NaN,-0.328854,NaN,NaN,CD22,,,
-2.42472,NaN,-1.71043,-2.23219,-1.47811,-0.500429,SEMA3B,,,
0.26554,-4.59038,-1.5415,NaN,-1.73061,-0.212304,MBTPS2,,,
-1.25403,NaN,1.67423,NaN,NaN,NaN,PRICKLE3,,,
-1.75104,-2.22856,-0.143931,-0.821401,-0.866673,-0.498058,EXTL3,,,
0.158035,-2.72565,-0.560476,-0.799665,-1.22031,-0.831959,ELOVL5,,,
NaN,NaN,NaN,NaN,NaN,0.372659,KDM5D,,,
0.108187,NaN,-0.32577,NaN,-1.14678,1.65711,CALCOCO1,,,
0.816173,-0.181147,0.483899,-1.21568,0.472128,-0.890376,UBR7,,,
1.30533,-0.0257027,-0.182124,-1.70203,0.0850315,0.180708,MAP4K5,,,
-0.318785,0.767847,NaN,NaN,-0.908494,-0.0730681,EHD3,,,
0.11938,-0.027149,0.270875,-1.02732,-0.523468,-1.33429,PSMC4,,,
-1.45042,-1.89473,-0.859202,-1.69212,-1.42173,-3.11534,MAN2B2,,,
NaN,NaN,NaN,-1.99367,NaN,NaN,CLDN11,,,
-0.794825,1.11725,0.798885,0.267737,0.571448,0.255845,SLC25A39,,,
-0.45763,-0.0360229,0.198892,-0.829178,-0.191679,-0.663229,MVP,,,
0.460845,0.528897,-0.142462,0.494058,0.976226,-0.666578,NUB1,,,
0.482313,0.0512593,0.423687,-0.401547,0.374334,0.625102,PGM3,,,
NaN,NaN,-1.6477,1.73499,-0.644281,1.39913,RWDD2A,,,
0.827107,0.154764,-2.30305,-1.01449,-2.2704,0.222099,CLK1,,,
0.60775,-0.0582297,0.196908,0.915565,-0.681118,0.251643,POLR3B,,,
-0.906465,NaN,0.411196,-1.10038,NaN,-1.42953,ANGEL1,,,
1.07274,0.099623,-0.0801177,-0.481551,0.133327,-0.600433,RNF14,,,
-1.07328,-0.745207,-0.117183,0.763561,-1.95728,-1.03947,DNASE1L1,,,
-0.020485,-2.46262,1.53221,NaN,0.285329,0.235155,DDX11,,,
0.72578,0.410231,-0.403773,-0.12696,-0.133827,0.0710363,HEBP1,,,
-0.376605,-1.56355,-1.06547,-0.952931,-1.42651,NaN,GPRC5A,,,
-1.19481,-2.24265,NaN,2.77851,-0.00417709,1.81006,MAMLD1,,,
-1.85165,-0.699823,-0.267036,-1.15623,0.934476,1.41525,ERIC-1s,,,
0.258525,0.387216,0.236825,-2.81873,0.0426283,-1.50407,UFL1,,,
-1.49898,-1.01459,-1.44125,1.37767,0.926876,NaN,POLA2,,,
-1.72729,-0.707732,-0.527404,NaN,NaN,NaN,ZC3H3,,,
-1.2771,0.210208,1.79761,-0.544662,-1.15272,0.258307,CAPN1,,,
NaN,0.0147889,0.229866,-0.544117,0.144945,0.2521,MDH1,,,
